Disp_OPC[Código],Disp_OPC[Nome],Disp_OPC[Data report],Disp_OPC[Versão],Disp_OPC[VIP],Disp_OPC[Suspenso],Disp_OPC[Bandeira],[AverageDisponibilidade__Final_S_Analise]
12567 - V4 NUC,12567 - V4 Nuc Posto  Boxter Mare Alta,2025-08-26T00:00:00,V4 - NOVPN,False,False,Boxter,1
12572 - V4 NUC,12572 - V4 Nuc Posto  Ipiranga Afonso Penna,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12576 - V4 NUC,12576 - V4 Nuc Posto  Ipiranga Auto Posto Ayrton Senna 1016 Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
12578 - V4 NUC,12578 - V4 Nuc Posto  Ipiranga Auto Posto Brasil 137 Ltda,2025-08-26T00:00:00,V4 - VPN,True,False,Ipiranga,1
12581 - V4 NUC,12581 - V4 Nuc Posto  Ipiranga Auto Posto Corumba Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
12584 - V4 NUC,12584 - V4 Nuc Posto  Ipiranga Auto Posto Doutor Carvalho Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12585 - V4 NUC,12585 - V4 Nuc Posto   Posto Romeiros 1,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
12590 - V4 NUC,12590 - V4 Nuc Posto  Ipiranga Auto Posto Jose Marangoni Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12591,12591 Auto Posto Sf 1638 Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12592 - V4 NUC,12592 - V4 Nuc Posto  Ipiranga Nova Marajo,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
12594 - V4 NUC,12594 - V4 Nuc Posto  Ipiranga Auto Posto Presidente Costa 2 Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
12595 - V4 NUC,12595 - V4 Nuc Posto  Ipiranga Auto Posto Presidente Wilson Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12596 - V4 NUC,12596 - V4 Nuc Posto  Ipiranga Auto Posto Engenheiro 1200 Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12599 - V4 NUC,12599 - V4 Nuc Posto  Ipiranga Auto Posto General Newton Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12601 - V4 NUC,12601 - V4 Nuc Posto  Ipiranga  Polo Tambore,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
12602 - V4 NUC,12602 - V4 Nuc Posto  Ipiranga Rotondo Auto Posto Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12603 - V4 NUC,12603 - V4 Nuc Posto  Ipiranga Rede Alpha,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12605 - V4 NUC,12605 - V4 Nuc Posto  Ipiranga Auto Posto Heliodora Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12606 - V4 NUC,12606 - V4 Nuc Posto  Ipiranga Auto Posto Parada 688 Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,0
12607 - V4 NUC,12607 - V4 Nuc Posto  Ipiranga Auto Posto Tiradentes Ltda,2025-08-26T00:00:00,V4 - VPN,True,False,Ipiranga,1
12608 - V4 NUC,12608 - V4 Nuc Posto  Ipiranga Auto Posto Municipalde Andradas Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12610 - V4 NUC,12610 - V4 Nuc Posto  Ipiranga Auto Posto Garcia 5174 Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12611 - V4 NUC,12611 - V4 Nuc Posto  Ipiranga Auto Posto Maria Amalia Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12614 - V4 NUC,12614 - V4 Nuc Posto  Br Prl Petroleo Ii Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,BR,1
12616 - V4 NUC,12616 - V4 Nuc Posto   Filial 06 Sete Estrelas Comercio De Deri,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
12617 - V4 NUC,12617 - V4 Nuc Posto   Filial 10 Sete Estrelas Comercio De Deri,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
